time,r_shoulder_elev,r_elbow_flex,elbow_vel,elbow_acc,rep_index,fatigue_level
0.0000,26.780303,26.851005,0.104791,22.632634,1,0.0000
0.0100,26.780303,26.852053,0.331118,48.136326,1,0.0002
0.0200,26.780303,26.857627,1.067518,101.804646,1,0.0005
0.0300,26.780303,26.873403,2.367210,156.090785,1,0.0007
0.0400,26.780303,26.904971,4.189333,203.569889,1,0.0010
0.0500,26.780303,26.957190,6.438608,240.620604,1,0.0012
0.0600,26.780303,27.033744,9.001746,268.032357,1,0.0014
0.0700,26.780303,27.137225,11.799255,290.973242,1,0.0017
0.0800,26.780303,27.269729,14.821210,316.238786,1,0.0019
0.0900,26.780303,27.433649,18.124031,348.342507,1,0.0022
0.1000,26.780303,27.632209,21.788061,386.750721,1,0.0024
0.1100,26.780303,27.869410,25.859046,425.931744,1,0.0026
0.1200,26.780303,28.149390,30.306695,458.257072,1,0.0029
0.1300,26.780303,28.475544,35.024187,478.131336,1,0.0031
0.1400,26.780303,28.849874,39.869322,485.021127,1,0.0034
0.1500,26.780303,29.272930,44.724610,483.705050,1,0.0036
0.1600,26.780303,29.744366,49.543423,481.673445,1,0.0038
0.1700,26.780303,30.263799,54.358078,485.207859,1,0.0041
0.1800,26.780303,30.831528,59.247580,496.338461,1,0.0043
0.1900,26.780303,31.448751,64.284848,512.262853,1,0.0046
0.2000,26.780303,32.117225,69.492837,527.330670,1,0.0048
0.2100,26.780303,32.838607,74.831461,536.262791,1,0.0050
0.2200,26.780303,33.613854,80.218093,536.716102,1,0.0053
0.2300,26.780303,34.442969,85.565783,529.887442,1,0.0055
0.2400,26.780303,35.325170,90.815842,519.135862,1,0.0058
0.2500,26.780303,36.259286,95.948500,507.756339,1,0.0060
0.2600,26.780303,37.244140,100.970969,497.366818,1,0.0062
0.2700,26.780303,38.278705,105.895837,487.746801,1,0.0065
0.2800,26.780303,39.362056,110.725905,477.879842,1,0.0067
0.2900,26.780303,40.493223,115.453434,467.165003,1,0.0070
0.3000,26.780303,41.671125,120.069205,455.792243,1,0.0072
0.3100,26.780303,42.894608,124.569278,444.058035,1,0.0074
0.3200,26.780303,44.162511,128.950366,431.333413,1,0.0077
0.3300,26.780303,45.473615,133.195947,415.773925,1,0.0079
0.3400,26.780303,46.826429,137.265844,395.353110,1,0.0082
0.3500,26.780303,48.218932,141.103009,369.722016,1,0.0084
0.3600,26.780303,49.648490,144.660284,341.519748,1,0.0086
0.3700,26.780303,51.112137,147.933404,315.800996,1,0.0089
0.3800,26.780303,52.607158,150.976304,297.345053,1,0.0091
0.3900,26.780303,54.131664,153.880305,287.157427,1,0.0094
0.4000,26.780303,55.684764,156.719453,280.437963,1,0.0096
0.4100,26.780303,57.266053,159.489064,267.868711,1,0.0098
0.4200,26.780303,58.874545,162.076827,240.282341,1,0.0101
0.4300,26.780303,60.507589,164.294711,194.544422,1,0.0103
0.4400,26.780303,62.160439,165.967716,137.202009,1,0.0106
0.4500,26.780303,63.826943,167.038751,83.113796,1,0.0108
0.4600,26.780303,65.501214,167.629991,48.804611,1,0.0110
0.4700,26.780303,67.179543,168.014843,43.424817,1,0.0113
0.4800,26.780303,68.861511,168.498488,62.131222,1,0.0115
0.4900,26.780303,70.549513,169.257468,86.103736,1,0.0118
0.5000,26.780303,72.246661,170.220562,90.271410,1,0.0120
0.5100,26.780303,73.953924,171.062896,55.633530,1,0.0122
0.5200,26.780303,75.667919,171.333233,-19.903684,1,0.0125
0.5300,26.780303,77.380589,170.664822,-118.183397,1,0.0127
0.5400,26.780303,79.081215,168.969565,-207.574679,1,0.0130
0.5500,26.780303,80.759980,166.513329,-257.358265,1,0.0132
0.5600,26.780303,82.411482,163.822400,-252.971522,1,0.0134
0.5700,26.780303,84.036428,161.453898,-204.382440,1,0.0137
0.5800,26.780303,85.640559,159.734751,-142.884857,1,0.0139
0.5900,26.780303,87.231123,158.596201,-107.260245,1,0.0142
0.6000,26.780303,88.812484,157.589546,-125.688379,1,0.0144
0.6100,26.780303,90.382914,156.082434,-202.161869,1,0.0146
0.6200,26.780303,91.934132,153.546309,-314.143277,1,0.0149
0.6300,26.780303,93.453840,149.799568,-422.743128,1,0.0151
0.6400,26.780303,94.930124,145.091446,-490.546592,1,0.0154
0.6500,26.780303,96.355669,139.988636,-498.506427,1,0.0156
0.6600,26.780303,97.729896,135.121318,-453.914007,1,0.0158
0.6700,26.780303,99.058096,130.910356,-385.989469,1,0.0161
0.6800,26.780303,100.348103,127.401528,-331.716999,1,0.0163
0.6900,26.780303,101.606126,124.276016,-319.086077,1,0.0166
0.7000,26.780303,102.833624,121.019807,-355.686880,1,0.0168
0.7100,26.780303,104.026522,117.162278,-427.465172,1,0.0170
0.7200,26.780303,105.176869,112.470503,-507.200090,1,0.0173
0.7300,26.780303,106.275932,107.018277,-567.709071,1,0.0175
0.7400,26.780303,107.317235,101.116322,-593.130016,1,0.0178
0.7500,26.780303,108.298259,95.155676,-583.423211,1,0.0180
0.7600,26.780303,109.220348,89.447858,-551.186032,1,0.0182
0.7700,26.780303,110.087216,84.131956,-513.706226,1,0.0185
0.7800,26.780303,110.902987,79.173733,-484.939069,1,0.0187
0.7900,26.780303,111.670691,74.433174,-471.164125,1,0.0190
0.8000,26.780303,112.391651,69.750451,-471.371522,1,0.0192
0.8100,26.780303,113.065700,65.005744,-480.707387,1,0.0194
0.8200,26.780303,113.691766,60.136303,-494.093048,1,0.0197
0.8300,26.780303,114.268426,55.123883,-507.859436,1,0.0199
0.8400,26.780303,114.794243,49.979114,-519.134924,1,0.0202
0.8500,26.780303,115.268008,44.741184,-524.414117,1,0.0204
0.8600,26.780303,115.689067,39.490832,-519.144281,1,0.0206
0.8700,26.780303,116.057825,34.358299,-499.167139,1,0.0209
0.8800,26.780303,116.376233,29.507489,-463.260893,1,0.0211
0.8900,26.780303,116.647974,25.093081,-414.995619,1,0.0214
