time,r_shoulder_elev,r_elbow_flex,elbow_vel,elbow_acc,rep_index,fatigue_level
0.0000,10.112413,22.597617,0.010895,6.772834,1,0.0000
0.0100,10.112413,22.597726,0.078623,12.947898,1,0.0002
0.0200,10.112413,22.599190,0.269853,24.424422,1,0.0003
0.0300,10.112413,22.603123,0.567112,34.510182,1,0.0005
0.0400,10.112413,22.610532,0.960056,43.675963,1,0.0006
0.0500,10.112413,22.622324,1.440631,52.226515,1,0.0008
0.0600,10.112413,22.639345,2.004587,60.577889,1,0.0009
0.0700,10.112413,22.662416,2.652189,69.157800,1,0.0011
0.0800,10.112413,22.692388,3.387743,78.284128,1,0.0013
0.0900,10.112413,22.730171,4.217871,88.054172,1,0.0014
0.1000,10.112413,22.776746,5.148826,98.280984,1,0.0016
0.1100,10.112413,22.833147,6.183491,108.505270,1,0.0017
0.1200,10.112413,22.900416,7.318932,118.092332,1,0.0019
0.1300,10.112413,22.979526,8.545338,126.397753,1,0.0021
0.1400,10.112413,23.071322,9.846887,132.960705,1,0.0022
0.1500,10.112413,23.176464,11.204552,137.668375,1,0.0024
0.1600,10.112413,23.295413,12.600254,140.835894,1,0.0025
0.1700,10.112413,23.428469,14.021270,143.165255,1,0.0027
0.1800,10.112413,23.575839,15.463559,145.580434,1,0.0028
0.1900,10.112413,23.737740,16.932878,148.974936,1,0.0030
0.2000,10.112413,23.914496,18.443058,153.940269,1,0.0032
0.2100,10.112413,24.106601,20.011684,160.557974,1,0.0033
0.2200,10.112413,24.314730,21.654217,168.327106,1,0.0035
0.2300,10.112413,24.539686,23.378226,176.264154,1,0.0036
0.2400,10.112413,24.782294,25.179501,183.161884,1,0.0038
0.2500,10.112413,25.043276,27.041463,187.942177,1,0.0039
0.2600,10.112413,25.323124,28.938344,190.001870,1,0.0041
0.2700,10.112413,25.622042,30.841501,189.443009,1,0.0043
0.2800,10.112413,25.939954,32.727204,187.104880,1,0.0044
0.2900,10.112413,26.276587,34.583598,184.369598,1,0.0046
0.3000,10.112413,26.631626,36.414596,182.781313,1,0.0047
0.3100,10.112413,27.004878,38.239225,183.580813,1,0.0049
0.3200,10.112413,27.396410,40.086213,187.292659,1,0.0051
0.3300,10.112413,27.806603,41.985078,193.497482,1,0.0052
0.3400,10.112413,28.236112,43.956162,200.875946,1,0.0054
0.3500,10.112413,28.685726,46.002597,207.534129,1,0.0055
0.3600,10.112413,29.156164,48.106845,211.534086,1,0.0057
0.3700,10.112413,29.647863,50.233279,211.484132,1,0.0058
0.3800,10.112413,30.160829,52.336527,207.013522,1,0.0060
0.3900,10.112413,30.694593,54.373549,198.977821,1,0.0062
0.4000,10.112413,31.248300,56.316084,189.311392,1,0.0063
0.4100,10.112413,31.820915,58.159777,180.544117,1,0.0065
0.4200,10.112413,32.411496,59.926966,175.101967,1,0.0066
0.4300,10.112413,33.019454,61.661816,174.584481,1,0.0068
0.4400,10.112413,33.644732,63.418656,179.232347,1,0.0070
0.4500,10.112413,34.287828,65.246463,187.755852,1,0.0071
0.4600,10.112413,34.949661,67.173773,197.598750,1,0.0073
0.4700,10.112413,35.631303,69.198438,205.588034,1,0.0074
0.4800,10.112413,36.333630,71.285533,208.803471,1,0.0076
0.4900,10.112413,37.057014,73.374507,205.426863,1,0.0077
0.5000,10.112413,37.801120,75.394071,195.323935,1,0.0079
0.5100,10.112413,38.564895,77.280986,180.176902,1,0.0081
0.5200,10.112413,39.346740,78.997609,163.107377,1,0.0082
