time,r_shoulder_elev,r_elbow_flex,elbow_vel,elbow_acc,rep_index,fatigue_level
0.0000,20.000000,20.000000,0.059598,9.267287,1,0.0000
0.0100,20.000000,20.000596,0.152270,17.749453,1,0.0002
0.0200,20.000000,20.003045,0.414587,33.688239,1,0.0003
0.0300,20.000000,20.008888,0.826035,48.408833,1,0.0005
0.0400,20.000000,20.019566,1.382763,63.193639,1,0.0007
0.0500,20.000000,20.036543,2.089908,78.587626,1,0.0009
0.0600,20.000000,20.061364,2.954516,94.365049,1,0.0010
0.0700,20.000000,20.095633,3.977209,109.652073,1,0.0012
0.0800,20.000000,20.140908,5.147557,123.427175,1,0.0014
0.0900,20.000000,20.198584,6.445752,135.093275,1,0.0015
0.1000,20.000000,20.269824,7.849423,144.789918,1,0.0017
0.1100,20.000000,20.355573,9.341551,153.284280,1,0.0019
0.1200,20.000000,20.456655,10.915108,161.535571,1,0.0020
0.1300,20.000000,20.573875,12.572262,170.211817,1,0.0022
0.1400,20.000000,20.708100,14.319345,179.443075,1,0.0024
0.1500,20.000000,20.860262,16.161124,188.925231,1,0.0026
0.1600,20.000000,21.031322,18.097849,198.255586,1,0.0027
0.1700,20.000000,21.222219,20.126235,207.235112,1,0.0029
0.1800,20.000000,21.433847,22.242552,215.907334,1,0.0031
0.1900,20.000000,21.667070,24.444382,224.300109,1,0.0032
0.2000,20.000000,21.922735,26.728554,232.068764,1,0.0034
0.2100,20.000000,22.201641,29.085757,238.351190,1,0.0036
0.2200,20.000000,22.504450,31.495578,242.048541,1,0.0038
0.2300,20.000000,22.831553,33.926728,242.478157,1,0.0039
0.2400,20.000000,23.182984,36.345141,240.061480,1,0.0041
0.2500,20.000000,23.558455,38.727958,236.591930,1,0.0043
0.2600,20.000000,23.957543,41.076979,234.778426,1,0.0044
0.2700,20.000000,24.379995,43.423526,237.130556,1,0.0046
0.2800,20.000000,24.826014,45.819590,244.653507,1,0.0048
0.2900,20.000000,25.296387,48.316597,256.023574,1,0.0049
0.3000,20.000000,25.792346,50.940062,267.773124,1,0.0051
0.3100,20.000000,26.315188,53.672059,275.560260,1,0.0053
0.3200,20.000000,26.865787,56.451267,276.043204,1,0.0055
0.3300,20.000000,27.444213,59.192923,268.510216,1,0.0056
0.3400,20.000000,28.049646,61.821471,255.447176,1,0.0058
